x,y,dir,length,zone,score,level
11,10,1,2,3,0,1
12,10,1,2,3,0,1
13,10,1,2,3,0,1
14,10,1,2,3,0,1
15,10,1,2,3,0,1
16,10,1,2,3,0,1
17,10,1,2,3,0,1
18,10,1,2,3,0,1
19,10,1,2,3,0,1
20,10,1,2,3,0,1
10,11,1,2,3,0,1
10,12,1,2,3,0,1
9,12,2,2,2,0,1
8,12,2,2,2,0,1
7,12,2,2,2,0,1
6,12,2,2,2,0,1
5,12,2,2,2,0,1
4,12,2,2,2,0,1
4,11,0,2,2,0,1
4,10,0,2,2,0,1
4,9,0,2,0,0,1
4,8,0,2,0,0,1
4,7,0,2,0,0,1
4,6,0,2,0,0,1
4,5,0,3,0,1,1
5,5,3,3,0,1,1
6,5,3,3,0,1,1
7,5,3,3,0,1,1
8,5,3,3,0,1,1
9,5,3,3,0,1,1
10,5,3,3,1,1,1
11,5,3,3,1,1,1
12,5,3,3,1,1,1
13,5,3,3,1,1,1
14,5,3,3,1,1,1
14,6,1,3,1,1,1
14,7,1,3,1,1,1
14,8,1,3,1,1,1
14,9,1,3,1,1,1
14,10,1,3,3,1,1
14,11,1,3,3,1,1
14,12,1,3,3,1,1
14,13,1,3,3,1,1
14,14,1,4,3,2,1
14,15,1,4,3,2,1
14,16,1,4,3,2,1
14,17,1,4,3,2,1
14,18,1,4,3,2,1
13,18,2,4,3,2,1
12,18,2,4,3,2,1
11,18,2,4,3,2,1
10,18,2,4,3,2,1
9,18,2,4,2,2,1
9,17,0,4,2,2,1
9,16,0,4,2,2,1
9,15,0,4,2,2,1
9,14,0,4,2,2,1
9,13,0,4,2,2,1
8,13,2,4,2,2,1
7,13,2,5,2,3,1
6,13,2,5,2,3,1
6,12,0,5,2,3,1
6,11,0,5,2,3,1
6,10,0,5,2,3,1
6,9,0,5,0,3,1
7,9,3,5,0,3,1
8,9,3,5,0,3,1
9,9,3,5,0,3,1
10,9,3,5,1,3,1
11,9,3,5,1,3,1
12,9,3,5,1,3,1
13,9,3,5,1,3,1
13,10,1,5,3,3,1
13,11,1,5,3,3,1
13,12,1,5,3,3,1
13,13,1,5,3,3,1
12,13,2,5,3,3,1
11,13,2,5,3,3,1
10,13,2,5,3,3,1
10,12,0,5,3,3,1
10,11,0,5,3,3,1
9,11,2,5,2,3,1
8,11,2,5,2,3,1
